timestamp,elapsed_s,bat_level,bat_voltage,bat_temp,charge_uAh,bat_status,cpu0_khz,cpu4_khz,cpu7_khz,t_cpu0,t_cpu7,t_gpu0,t_nsp0,t_nsp1,t_skin,t_shell,t_battery
23:14:06,1690,62,3941,391,3495000,3,1344000,1401600,576000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:14:17,1700,62,3941,391,3495000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:14:27,1710,62,3941,391,3495000,3,1132800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:14:37,1720,62,3941,391,3495000,3,1248000,2131200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:14:48,1730,62,3941,391,3495000,3,1459200,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:14:58,1740,62,3941,391,3495000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:15:08,1750,62,3961,391,3474000,3,1804800,1708800,1593600,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:15:19,1760,62,3961,391,3474000,3,787200,1286400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:15:29,1770,62,3961,391,3474000,3,556800,1401600,1363200,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:15:39,1780,62,3961,391,3474000,3,672000,1075200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:15:50,1790,62,3937,391,3460000,3,672000,1401600,1363200,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:16:00,1800,62,3937,391,3460000,3,902400,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
