03-20 18:36:37.299 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.1ms  P1a=3.7  GPU=2.8  copy=2.4  P3=14.4  P4(GPU)=2.7
03-20 18:36:38.498 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.1ms  P1a=4.3  GPU=2.7  copy=1.0  P3=14.4  P4(GPU)=2.7
03-20 18:36:39.699 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.9ms  P1a=3.9  GPU=2.7  copy=1.0  P3=15.5  P4(GPU)=2.7
03-20 18:36:40.901 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.4ms  P1a=4.1  GPU=2.8  copy=1.1  P3=15.4  P4(GPU)=3.0
03-20 18:36:42.101 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.4ms  P1a=3.9  GPU=2.7  copy=2.4  P3=15.3  P4(GPU)=2.8
03-20 18:36:43.300 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.6ms  P1a=4.1  GPU=2.8  copy=1.1  P3=14.9  P4(GPU)=2.9
03-20 18:36:44.498 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.0ms  P1a=3.7  GPU=2.8  copy=1.1  P3=13.7  P4(GPU)=2.8
03-20 18:36:45.696 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.4ms  P1a=3.0  GPU=2.7  copy=0.8  P3=14.3  P4(GPU)=2.6
03-20 18:36:46.899 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.9ms  P1a=3.5  GPU=2.7  copy=2.4  P3=13.8  P4(GPU)=2.6
03-20 18:36:48.100 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.4ms  P1a=4.0  GPU=2.8  copy=1.2  P3=14.7  P4(GPU)=3.1
03-20 18:36:49.394 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.3ms  P1a=3.5  GPU=2.8  copy=1.0  P3=15.2  P4(GPU)=2.6
03-20 18:36:50.596 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.3ms  P1a=4.5  GPU=2.7  copy=1.1  P3=15.3  P4(GPU)=2.9
03-20 18:36:51.794 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.9ms  P1a=3.8  GPU=2.7  copy=1.1  P3=15.0  P4(GPU)=2.7
03-20 18:36:52.995 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.1ms  P1a=4.1  GPU=2.8  copy=1.0  P3=14.5  P4(GPU)=2.9
03-20 18:36:54.194 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.4ms  P1a=3.9  GPU=2.7  copy=1.1  P3=14.1  P4(GPU)=2.9
